,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
93,93,0.908,0.3,Lee_et_al_Science_Covidonly
94,94,0.913,0.3,Lee_et_al_Science_Covidonly
95,95,0.909,0.3,Lee_et_al_Science_Covidonly
96,96,0.905,0.3,Lee_et_al_Science_Covidonly
97,97,0.896,0.3,Lee_et_al_Science_Covidonly
98,98,0.911,0.3,Lee_et_al_Science_Covidonly
99,99,0.894,0.3,Lee_et_al_Science_Covidonly
100,0,0.908,0.25,Lee_et_al_Science_Covidonly
101,1,0.91,0.25,Lee_et_al_Science_Covidonly
102,2,0.906,0.25,Lee_et_al_Science_Covidonly
103,3,0.908,0.25,Lee_et_al_Science_Covidonly
104,4,0.891,0.25,Lee_et_al_Science_Covidonly
105,5,0.902,0.25,Lee_et_al_Science_Covidonly
106,6,0.907,0.25,Lee_et_al_Science_Covidonly
107,7,0.911,0.25,Lee_et_al_Science_Covidonly
108,8,0.912,0.25,Lee_et_al_Science_Covidonly
109,9,0.907,0.25,Lee_et_al_Science_Covidonly
110,10,0.907,0.25,Lee_et_al_Science_Covidonly
111,11,0.905,0.25,Lee_et_al_Science_Covidonly
112,12,0.909,0.25,Lee_et_al_Science_Covidonly
113,13,0.904,0.25,Lee_et_al_Science_Covidonly
114,14,0.908,0.25,Lee_et_al_Science_Covidonly
115,15,0.911,0.25,Lee_et_al_Science_Covidonly
116,16,0.903,0.25,Lee_et_al_Science_Covidonly
117,17,0.904,0.25,Lee_et_al_Science_Covidonly
118,18,0.9,0.25,Lee_et_al_Science_Covidonly
119,19,0.91,0.25,Lee_et_al_Science_Covidonly
120,20,0.909,0.25,Lee_et_al_Science_Covidonly
121,21,0.907,0.25,Lee_et_al_Science_Covidonly
122,22,0.909,0.25,Lee_et_al_Science_Covidonly
123,23,0.913,0.25,Lee_et_al_Science_Covidonly
124,24,0.905,0.25,Lee_et_al_Science_Covidonly
125,25,0.91,0.25,Lee_et_al_Science_Covidonly
126,26,0.912,0.25,Lee_et_al_Science_Covidonly
127,27,0.911,0.25,Lee_et_al_Science_Covidonly
128,28,0.909,0.25,Lee_et_al_Science_Covidonly
129,29,0.909,0.25,Lee_et_al_Science_Covidonly
130,30,0.9,0.25,Lee_et_al_Science_Covidonly
